feature_id,old_locus_tag,gene_names,rast_function,bakta_function,agent_annotation,rast_class,bakta_class,agent_class,rast_category,best_source,best_annotation
ACIAD_RS07100,ACIAD1541,araJ,MFS-type transporter => TcuC,Major facilitator superfamily (MFS) profile domain-containing protein,"Proton-coupled major facilitator superfamily (MFS) transporter of the sugar porter/symporter type, likely mediating uptake of small carbohydrates/organic acids and impacting motility and stress tolerance (e.g., acetate and Ni/Co conditions).",specific,specific,specific,transporter,RAST,MFS-type transporter => TcuC
ACIAD_RS07095,ACIAD1540,modA,"Hypothetical ABC transport system, periplasmic component","Molybdate ABC transporter, periplasmic molybdate-binding protein",Predicted major facilitator superfamily dicarboxylate permease (PcaT/KgtP family) likely importing β-ketoadipate and related C4/C6 dicarboxylates to support aromatic compound catabolism via the protocatechuate/β-ketoadipate pathway.,specific,specific,specific,hypothetical,RAST,"Hypothetical ABC transport system, periplasmic component"
ACIAD_RS07090,,lysR,"Transcriptional regulator, LysR family => TcuR",HTH lysR-type domain-containing protein,"LysR-family transcriptional regulator likely controlling branched-chain amino acid (ilv/leu) biosynthesis genes, required for robust growth in minimal media.",specific,specific,specific,regulator,RAST,"Transcriptional regulator, LysR family => TcuR"
ACIAD_RS07085,ACIAD1537,tcuA,"Tricarballylate dehydrogenase, TcuA",FAD-dependent tricarballylate dehydrogenase TcuA,FAD-dependent oxidoreductase CobZ (precorrin-3B synthase) likely catalyzing oxidation in the cobalamin (vitamin B12) biosynthesis pathway.,specific,specific,specific,enzyme,RAST,"Tricarballylate dehydrogenase, TcuA"
ACIAD_RS07080,ACIAD1536,tcuB,"Tricarballylate utilization protein, TcuB",tricarballylate utilization 4Fe-4S protein TcuB,"Predicted citrate utilization protein B family enzyme, implicated in citrate-dependent central metabolism/energy generation; loss of function reduces fitness in multiple nutrient/stress conditions (e.g., cisplatin/perchlorate/ornithine as C or N sources) and strongly impairs in planta growth in Pseudomonas syringae homologs.",specific,specific,specific,other_specific,RAST,"Tricarballylate utilization protein, TcuB"
ACIAD_RS07075,ACIAD1535,,"Aliphatic sulfonate monooxygenase family, FMNH2- or F420-dependent",Luciferase-like domain-containing protein,"Predicted FMNH2-dependent monooxygenase of the SsuD/RutA family (luciferase-like fold), likely involved in oxidative desulfonation/oxygenation reactions such as alkanesulfonate utilization or uracil catabolism.",specific,specific,specific,other_specific,RAST,"Aliphatic sulfonate monooxygenase family, FMNH2- or F420-dependent"
ACIAD_RS07070,ACIAD1534,,TonB-dependent receptor,Putative tonB-dependent receptor protein (Outer membrane salicin receptor),"TonB-dependent outer membrane receptor (TBDR) with N-terminal plug domain and C-terminal beta-barrel, likely mediating energy-coupled uptake of scarce nutrients (e.g., siderophore/metal or vitamin complexes).",specific,specific,specific,other_specific,RAST,TonB-dependent receptor
ACIAD_RS07065,,,"Outer membrane receptor proteins, mostly Fe transport",PI-PLC Y-box domain-containing protein,"TonB-dependent outer membrane receptor implicated in uptake of aromatic amino acids (e.g., phenylalanine/tyrosine/tryptophan) to support their utilization and catabolism.",specific,specific,specific,transporter,RAST,"Outer membrane receptor proteins, mostly Fe transport"
ACIAD_RS07060,,,"Oligopeptide ABC transporter, substrate-binding protein OppA (TC 3.A.1.5.1)",Solute-binding protein family 5 domain-containing protein,Predicted Tat-exported periplasmic solute-binding protein (family 5; MppA-type) likely involved in uptake of peptides and/or nickel via an ABC transporter.,specific,specific,specific,transporter,RAST,"Oligopeptide ABC transporter, substrate-binding protein OppA (TC 3.A.1.5.1)"
ACIAD_RS07055,ACIAD1530,exbD,Biopolymer transport protein ExbD/TolR,Biopolymer transporter ExbD,"ExbD/TolR-family inner membrane energy-transduction protein, component of the TonB–ExbB–ExbD (or Tol–Pal) system that couples proton motive force to outer-membrane transport processes.",specific,specific,specific,transporter,RAST,Biopolymer transport protein ExbD/TolR
ACIAD_RS07050,ACIAD1529,,MotA/TolQ/ExbB proton channel family protein,MotA/TolQ/ExbB proton channel domain-containing protein,ExbB/TolQ family inner-membrane proton channel that harnesses the proton motive force to energize TonB/TolA-dependent envelope biopolymer transport and outer-membrane maintenance.,specific,specific,specific,transporter,RAST,MotA/TolQ/ExbB proton channel family protein
ACIAD_RS07045,ACIAD1528,tonB,putative TonB-dependent receptor,TonB C-terminal domain-containing protein,"TonB-family energy transducer that couples the inner-membrane proton motive force to TonB-dependent outer-membrane transporters, supporting uptake of scarce nutrients (e.g., iron/siderophores and other small molecules) and contributing to fitness in diverse growth/stress conditions.",specific,specific,specific,other_specific,RAST,putative TonB-dependent receptor
ACIAD_RS07040,ACIAD1527,,FMNH2-dependent alkanesulfonate monooxygenase (EC 1.14.14.5),Alkanesulfonate monooxygenase,Putative FMN-dependent monooxygenase of the SsuD/RutA family (luciferase-like fold).,specific,specific,specific,enzyme,RAST,FMNH2-dependent alkanesulfonate monooxygenase (EC 1.14.14.5)
ACIAD_RS07035,ACIAD1526,,Alkanesulfonates-binding protein,SsuA/THI5-like domain-containing protein,"SsuA/THI5-like family protein associated with aromatic/organic-acid catabolic gene clusters, contributing to fitness during growth on specific carbon sources and in plant-associated/stress conditions.",specific,specific,specific,other_specific,RAST,Alkanesulfonates-binding protein
ACIAD_RS07030,ACIAD1525,,Alkanesulfonates transport system permease protein,ABC transmembrane type-1 domain-containing protein,Putative integral membrane permease component of an ABC-type importer (MetI-like transmembrane domain family).,specific,specific,specific,transporter,RAST,Alkanesulfonates transport system permease protein
ACIAD_RS07025,ACIAD1524,,Alkanesulfonates transport system permease protein,ABC transmembrane type-1 domain-containing protein,"Putative MetI-like transmembrane permease subunit of a type I ABC importer, likely involved in uptake of an amino acid such as methionine.",specific,specific,specific,transporter,RAST,Alkanesulfonates transport system permease protein
ACIAD_RS07020,ACIAD1523,,"ABC transporter, ATP-binding protein (cluster 1, maltose/g3p/polyamine/iron);ABC transporter, ATP-binding protein (cluster 10, nitrate/sulfonate/bicarbonate)",ABC transporter domain-containing protein,"ATP-binding subunit of an ABC-type transporter (YejF family), likely involved in uptake of peptides/toxic small molecules (e.g., microcin C–like compounds) and affecting tolerance/susceptibility to multiple stresses including antibiotics and metal ions.",specific,specific,specific,transporter,RAST,"ABC transporter, ATP-binding protein (cluster 1, maltose/g3p/polyamine/iron);ABC transporter, ATP-binding protein (cluster 10, nitrate/sulfonate/bicarbonate)"
ACIAD_RS07015,,tatA,Twin-arginine translocation protein TatA,Sec-independent protein translocase protein TatA,"Twin-arginine (Tat) protein translocase subunit TatA/E, a small inner-membrane component required for Sec-independent export of folded periplasmic proteins.",specific,specific,specific,other_specific,RAST,Twin-arginine translocation protein TatA
ACIAD_RS07010,,tatB,Twin-arginine translocation protein TatB,Sec-independent protein translocase protein TatB,"Membrane subunit TatB of the twin-arginine (Tat) Sec-independent protein translocase, required for export of folded Tat signal peptide-containing proteins across the cytoplasmic membrane.",specific,specific,specific,other_specific,RAST,Twin-arginine translocation protein TatB
ACIAD_RS07005,,tatC,Twin-arginine translocation protein TatC,twin-arginine translocase subunit TatC,TatC family membrane protein; essential component of the twin-arginine (Tat) Sec-independent protein translocase that exports folded proteins across the cytoplasmic membrane to the periplasm/extracytoplasmic space.,specific,specific,specific,other_specific,RAST,Twin-arginine translocation protein TatC
ACIAD_RS07000,ACIAD1519,,"Nitrogen regulation protein NR(I), GlnG (=NtrC)",Sigma-54 factor interaction domain-containing protein,Predicted σ54-dependent transcriptional activator (bacterial enhancer-binding protein) containing a central AAA+ P-loop NTPase that interacts with RNA polymerase σ54 to activate transcription.,specific,specific,specific,other_specific,RAST,"Nitrogen regulation protein NR(I), GlnG (=NtrC)"
ACIAD_RS06995,ACIAD1518,,"Aliphatic sulfonate monooxygenase family, FMNH2- or F420-dependent",Alkanesulfonate monooxygenase,"Predicted FMNH2-dependent monooxygenase of the RutA/SsuD (luciferase-like fold) family, likely involved in oxidative degradation of small metabolites during nutrient scavenging and impacting stress adaptation/motility.",specific,specific,specific,other_specific,RAST,"Aliphatic sulfonate monooxygenase family, FMNH2- or F420-dependent"
ACIAD_RS06990,ACIAD1517,,Secretory lipase precursor,Signal peptide-containing protein,"Putative secreted lipase/esterase (alpha/beta hydrolase family), likely involved in extracellular hydrolysis of lipid esters.",specific,specific,specific,other_specific,RAST,Secretory lipase precursor
ACIAD_RS06985,,,TonB-dependent receptor;Outer membrane receptor for ferrienterochelin and colicins,Putative ferric enterobactin receptor protein,TonB-dependent outer membrane receptor required for assimilatory sulfate/sulfur acquisition to support cysteine/methionine biosynthesis.,specific,specific,specific,other_specific,RAST,TonB-dependent receptor;Outer membrane receptor for ferrienterochelin and colicins
ACIAD_RS06980,ACIAD1515,,"Efflux ABC transporter, permease/ATP-binding protein Mfla_1549",ABC transporter ATP-binding protein,ATP-binding cassette (ABC) type 1 exporter (TMD-NBD fusion) likely involved in ATP-dependent efflux/export of a substrate across the cytoplasmic membrane.,specific,specific,specific,transporter,RAST,"Efflux ABC transporter, permease/ATP-binding protein Mfla_1549"
ACIAD_RS06975,ACIAD1514,,"Efflux ABC transporter, permease/ATP-binding protein Mfla_1548",ABC transporter ATP-binding protein,Homoserine dehydrogenase (Hom; NAD(P)-dependent) required for homoserine/threonine (aspartate-family amino acid) biosynthesis and contributes to fitness in minimal media and host-associated/alkaline-stress conditions.,specific,specific,specific,transporter,RAST,"Efflux ABC transporter, permease/ATP-binding protein Mfla_1548"
ACIAD_RS06970,,,Dibenzothiophene desulfurization enzyme B,SsuA/THI5-like domain-containing protein,,specific,specific,missing,other_specific,RAST,Dibenzothiophene desulfurization enzyme B
ACIAD_RS06965,ACIAD1510,,Acyl-CoA dehydrogenase;probable dibenzothiophene desulfurization enzyme,Monooxygenase,Putative FAD-dependent acyl-CoA dehydrogenase (UPF0701/YicC family) likely involved in β-oxidation/oxidative catabolism of short-chain and medium-chain acyl-CoA substrates; mutants show strong condition-specific fitness defects during growth on fatty acids/short-chain carboxylates and broad effects on stress tolerance.,specific,specific,specific,enzyme,RAST,Acyl-CoA dehydrogenase;probable dibenzothiophene desulfurization enzyme
ACIAD_RS06960,ACIAD1509,cntD,"ABC transporter, ATP-binding protein (cluster 5, nickel/peptides/opines);ABC transporter, ATP-binding protein (cluster 5, nickel/peptides/opines)",staphylopine uptake ABC transporter ATP-binding protein CntD,"ATP-binding (nucleotide-binding) subunit of an ABC importer, most consistent with an oligopeptide/dipeptide (Opp/Dpp-like; possibly nickel/peptide) transport system; contains tandem P-loop NTPase/ABC ATPase domains typical of fused OppD/OppF proteins.",specific,specific,specific,transporter,RAST,"ABC transporter, ATP-binding protein (cluster 5, nickel/peptides/opines);ABC transporter, ATP-binding protein (cluster 5, nickel/peptides/opines)"
ACIAD_RS06955,ACIAD1508,,"ABC transporter, permease protein 2 (cluster 5, nickel/peptides/opines)",ABC transmembrane type-1 domain-containing protein,Putative MetI-like transmembrane permease subunit of a binding-protein–dependent ABC transport system.,specific,specific,specific,transporter,RAST,"ABC transporter, permease protein 2 (cluster 5, nickel/peptides/opines)"
ACIAD_RS06950,ACIAD1507,,"ABC transporter, permease protein 1 (cluster 5, nickel/peptides/opines)",ABC transmembrane type-1 domain-containing protein,"Predicted ABC-type importer permease subunit (type I), MetI/GsiC-like transmembrane component.",specific,specific,specific,transporter,RAST,"ABC transporter, permease protein 1 (cluster 5, nickel/peptides/opines)"
ACIAD_RS06945,,,"Oligopeptide ABC transporter, substrate-binding protein OppA (TC 3.A.1.5.1)",Solute-binding protein family 5 domain-containing protein,Predicted periplasmic solute-binding protein (SBP family 5; MppA/NikA-like) that binds nickel and/or peptides (murein-derived oligopeptides) for delivery to an associated ABC transporter.,specific,specific,specific,transporter,RAST,"Oligopeptide ABC transporter, substrate-binding protein OppA (TC 3.A.1.5.1)"
ACIAD_RS06940,ACIAD1505,,"Aliphatic sulfonate monooxygenase family, FMNH2- or F420-dependent",Alkanesulfonate monooxygenase,"Predicted FMN-dependent luciferase-like monooxygenase of the SsuD/RutA family, likely catalyzing oxidative cleavage/hydroxylation reactions in small-molecule catabolism (e.g., alkanesulfonate desulfurization or pyrimidine utilization).",specific,specific,specific,other_specific,RAST,"Aliphatic sulfonate monooxygenase family, FMNH2- or F420-dependent"
ACIAD_RS06935,ACIAD1504,,Ribulose-5-phosphate 4-epimerase and related epimerases and aldolases,Class II aldolase/adducin N-terminal domain-containing protein,"Putative class II (metal-dependent) aldolase family enzyme, likely catalyzing reversible aldol cleavage/condensation of sugar phosphates.",specific,specific,specific,enzyme,RAST,Ribulose-5-phosphate 4-epimerase and related epimerases and aldolases
ACIAD_RS06930,ACIAD1503,,Dibenzothiophene desulfurization enzyme B,2'-hydroxybiphenyl-2-sulfinate desulfinase,"Conserved YaiL-family nucleic-acid–associated protein implicated in stress adaptation (including antimicrobial/plant-associated stresses) and polyphosphate-linked physiology, based on mutant fitness defects under diverse stress and minimal-medium conditions and cofitness with polyphosphate kinase.",specific,specific,specific,other_specific,RAST,Dibenzothiophene desulfurization enzyme B
ACIAD_RS06925,,,hypothetical protein,Integrase,"3-carboxy-cis,cis-muconate cycloisomerase (PcaB)-like enzyme in the protocatechuate branch of the beta-ketoadipate pathway for aerobic aromatic compound catabolism, contributing to growth on protocatechuate and related aromatics.",hypothetical,specific,specific,hypothetical,Bakta,Integrase
ACIAD_RS06920,ACIAD1500,mutS,DNA mismatch repair protein MutS,DNA mismatch repair protein MutS,ATP-dependent DNA mismatch repair protein MutS that recognizes base–base mismatches and small insertion/deletion loops and initiates mismatch repair via MutL/MutH-dependent signaling.,specific,specific,specific,other_specific,RAST,DNA mismatch repair protein MutS
